Community ID,Community Name,geometry,BATTERY,DECEPTIVE PRACTICE,HOMICIDE,NARCOTICS,NON-CRIMINAL,SEXUAL,THEFT
1, Rogers Park ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.6842,42.0156,0.0 -87.68321,42.01244,0.0 -87.68021,42.00514,0.0 -87.6769,41.99809,0.0 -87.67497,41.99802,0.0 -87.65476,41.99818,0.0 -87.65502,41.998826,0.0 -87.655749,41.999464,0.0 -87.655663,42.000038,0.0 -87.656522,42.002302,0.0 -87.65708,42.004407,0.0 -87.656994,42.006321,0.0 -87.65562,42.00644,0.0 -87.657208,42.008266,0.0 -87.658496,42.010147,0.0 -87.66017,42.011391,0.0 -87.661242,42.013113,0.0 -87.6618,42.014962,0.0 -87.662916,42.016843,0.0 -87.663217,42.018437,0.0 -87.663817,42.020063,0.0 -87.663689,42.020573,0.0 -87.665362,42.023889,0.0 -87.66729,42.02717,0.0 -87.67836,42.02723,0.0 -87.6763,42.01952,0.0 -87.68454,42.01952,0.0 -87.6842,42.0156,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1193,266,4,70,31,55,1864
2, West Ridge ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.71044,41.99485,0.0 -87.70922,41.99043,0.0 -87.70699,41.98313,0.0 -87.68943,41.98316,0.0 -87.68965,41.99053,0.0 -87.675018,41.990757,0.0 -87.67519,41.998093,0.0 -87.6769,41.99802,0.0 -87.68021,42.00526,0.0 -87.68175,42.00877,0.0 -87.68317,42.01234,0.0 -87.68424,42.01569,0.0 -87.68463,42.01952,0.0 -87.69025,42.01955,0.0 -87.71068,42.00485,0.0 -87.71089,41.99978,0.0 -87.71076,41.99742,0.0 -87.71044,41.99485,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1082,293,2,57,21,57,1541
3, Uptown ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.651157,41.976497,0.0 -87.674546,41.976114,0.0 -87.674246,41.961596,0.0 -87.666049,41.961628,0.0 -87.664418,41.957958,0.0 -87.662272,41.95448,0.0 -87.641029,41.954703,0.0 -87.641501,41.957288,0.0 -87.641759,41.958628,0.0 -87.641544,41.959905,0.0 -87.63854,41.959522,0.0 -87.63618,41.959745,0.0 -87.634206,41.961532,0.0 -87.631245,41.962968,0.0 -87.631931,41.965266,0.0 -87.635064,41.965457,0.0 -87.638154,41.966,0.0 -87.640643,41.967181,0.0 -87.642832,41.968616,0.0 -87.64472,41.970563,0.0 -87.645965,41.972701,0.0 -87.646351,41.976976,0.0 -87.646995,41.977678,0.0 -87.651157,41.976497,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1153,392,5,71,43,45,1453
4, Lincoln Square,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.694888,41.961277,0.0 -87.674289,41.961596,0.0 -87.674589,41.976146,0.0 -87.675018,41.990661,0.0 -87.689652,41.990534,0.0 -87.689395,41.983197,0.0 -87.706947,41.983085,0.0 -87.703686,41.972126,0.0 -87.702806,41.970483,0.0 -87.701304,41.9686,0.0 -87.698407,41.965952,0.0 -87.695596,41.96324,0.0 -87.694888,41.961277,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",531,219,1,35,12,19,944
5, North Center,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.694802,41.959618,0.0 -87.694416,41.957799,0.0 -87.694373,41.955884,0.0 -87.694588,41.953905,0.0 -87.696905,41.950075,0.0 -87.696347,41.946692,0.0 -87.69536,41.942542,0.0 -87.693772,41.940403,0.0 -87.691026,41.938329,0.0 -87.690339,41.936828,0.0 -87.687936,41.936126,0.0 -87.685661,41.933923,0.0 -87.683644,41.933444,0.0 -87.682657,41.932327,0.0 -87.673559,41.932391,0.0 -87.674289,41.961532,0.0 -87.694845,41.961245,0.0 -87.694802,41.959618,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",238,183,,20,8,16,815
6, Lake View ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.662272,41.954448,0.0 -87.664504,41.958086,0.0 -87.666049,41.961628,0.0 -87.674246,41.961596,0.0 -87.674074,41.950331,0.0 -87.67343,41.932359,0.0 -87.649012,41.932806,0.0 -87.631288,41.932965,0.0 -87.630343,41.933476,0.0 -87.633948,41.941233,0.0 -87.633262,41.942606,0.0 -87.640986,41.954703,0.0 -87.662272,41.954448,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",1188,749,,49,36,40,3194
7, Lincoln Park ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.68261,41.93223,0.0 -87.68106,41.93101,0.0 -87.67978,41.92859,0.0 -87.6769,41.92785,0.0 -87.6748,41.92645,0.0 -87.6745,41.92453,0.0 -87.67197,41.92268,0.0 -87.67055,41.92255,0.0 -87.66845,41.92204,0.0 -87.66441,41.91738,0.0 -87.66373,41.91562,0.0 -87.66145,41.91642,0.0 -87.65811,41.91409,0.0 -87.657101,41.910869,0.0 -87.62467,41.91134,0.0 -87.62304,41.91262,0.0 -87.6206,41.91313,0.0 -87.6203,41.91374,0.0 -87.62047,41.91435,0.0 -87.62214,41.91367,0.0 -87.62433,41.91441,0.0 -87.62592,41.91562,0.0 -87.62703,41.91687,0.0 -87.62828,41.9199,0.0 -87.62871,41.92294,0.0 -87.62939,41.92479,0.0 -87.62948,41.9268,0.0 -87.63103,41.92916,0.0 -87.63094,41.93219,0.0 -87.63128,41.93296,0.0 -87.68261,41.93223,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",618,491,1,35,17,20,2854
8, Near North Side,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.648067,41.91098,0.0 -87.65708,41.910853,0.0 -87.658131,41.90726,0.0 -87.658131,41.904225,0.0 -87.656608,41.902836,0.0 -87.656178,41.901447,0.0 -87.655127,41.900696,0.0 -87.651737,41.900009,0.0 -87.649183,41.898284,0.0 -87.645535,41.897821,0.0 -87.644334,41.897262,0.0 -87.644227,41.894227,0.0 -87.642102,41.892566,0.0 -87.639635,41.88918,0.0 -87.63869,41.886911,0.0 -87.638111,41.886225,0.0 -87.635837,41.887407,0.0 -87.632468,41.887359,0.0 -87.628005,41.887439,0.0 -87.625537,41.888733,0.0 -87.624357,41.888876,0.0 -87.620602,41.888573,0.0 -87.61586,41.888365,0.0 -87.6138,41.888748,0.0 -87.613585,41.888844,0.0 -87.612641,41.88902,0.0 -87.611268,41.889276,0.0 -87.609572,41.889355,0.0 -87.609551,41.891017,0.0 -87.600517,41.891176,0.0 -87.600539,41.891448,0.0 -87.598672,41.89148,0.0 -87.598629,41.892231,0.0 -87.60056,41.892247,0.0 -87.600603,41.892438,0.0 -87.60983,41.892279,0.0 -87.609851,41.893141,0.0 -87.602384,41.893365,0.0 -87.602384,41.8964,0.0 -87.605925,41.896463,0.0 -87.606847,41.896432,0.0 -87.610345,41.89624,0.0 -87.612126,41.893445,0.0 -87.612576,41.893221,0.0 -87.613842,41.893157,0.0 -87.619185,41.901159,0.0 -87.619979,41.90159,0.0 -87.620709,41.901718,0.0 -87.622619,41.902421,0.0 -87.625301,41.909799,0.0 -87.624743,41.910757,0.0 -87.624679,41.911316,0.0 -87.648067,41.91098,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2184,1766,5,158,83,62,7236
9, Edison Park ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.821875,42.01866,0.0 -87.82196,42.01595,0.0 -87.819815,42.015919,0.0 -87.819986,42.011455,0.0 -87.821274,42.011391,0.0 -87.821403,41.996944,0.0 -87.810287,41.997136,0.0 -87.81033,41.995509,0.0 -87.806854,41.995509,0.0 -87.806554,42.019043,0.0 -87.821875,42.01866,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",99,32,,2,1,6,93
10, Norwood Park ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.83644,41.98643,0.0 -87.83655,41.9844,0.0 -87.83659,41.97531,0.0 -87.83354,41.97539,0.0 -87.83346,41.97392,0.0 -87.83238,41.97392,0.0 -87.83232,41.97258,0.0 -87.82949,41.97266,0.0 -87.82955,41.974,0.0 -87.8194,41.97421,0.0 -87.81945,41.9708,0.0 -87.81934,41.97051,0.0 -87.81938,41.97018,0.0 -87.81693,41.97029,0.0 -87.81693,41.97428,0.0 -87.81073,41.97442,0.0 -87.80827,41.97455,0.0 -87.80704,41.97455,0.0 -87.80717,41.96829,0.0 -87.80253,41.96834,0.0 -87.8025,41.96867,0.0 -87.78799,41.96884,0.0 -87.78771,41.98295,0.0 -87.77801,41.98292,0.0 -87.77782,41.99385,0.0 -87.78292,41.99621,0.0 -87.78297,41.99742,0.0 -87.77998,41.99743,0.0 -87.77994,41.9992,0.0 -87.78013,42.0,0.0 -87.78022,42.00153,0.0 -87.78063,42.00265,0.0 -87.78099,42.00295,0.0 -87.78132,42.00303,0.0 -87.78196,42.00278,0.0 -87.78282,42.00107,0.0 -87.78288,42.00024,0.0 -87.78344,42.0,0.0 -87.78385,42.00019,0.0 -87.78466,42.00019,0.0 -87.78513,41.99978,0.0 -87.78629,41.99971,0.0 -87.78664,41.99983,0.0 -87.78713,41.99984,0.0 -87.78786,41.99962,0.0 -87.78874,41.99997,0.0 -87.7893,42.00027,0.0 -87.78994,42.00048,0.0 -87.7905,42.00096,0.0 -87.79713,42.00094,0.0 -87.79711,42.0,0.0 -87.79943,41.99999,0.0 -87.79983,42.00152,0.0 -87.80537,42.00144,0.0 -87.80541,42.00085,0.0 -87.80674,42.00085,0.0 -87.80679,41.99541,0.0 -87.8103,41.99543,0.0 -87.81039,41.99715,0.0 -87.82144,41.99689,0.0 -87.82168,41.99586,0.0 -87.82213,41.99329,0.0 -87.82445,41.97592,0.0 -87.83369,41.97576,0.0 -87.83369,41.97684,0.0 -87.82972,41.97696,0.0 -87.82983,41.97857,0.0 -87.82874,41.97858,0.0 -87.82872,41.98059,0.0 -87.83309,41.98051,0.0 -87.83316,41.98121,0.0 -87.83515,41.98118,0.0 -87.83522,41.98249,0.0 -87.8344,41.98251,0.0 -87.83427,41.98297,0.0 -87.83384,41.98324,0.0 -87.83314,41.98327,0.0 -87.83305,41.98369,0.0 -87.82818,41.98378,0.0 -87.82816,41.98405,0.0 -87.82816,41.98129,0.0 -87.82498,41.98136,0.0 -87.82505,41.98305,0.0 -87.82352,41.98313,0.0 -87.82331,41.9845,0.0 -87.83644,41.98643,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",350,140,1,17,6,21,409
