ID,1930,1940,1950,1960,1970,1980,1990,2000,2010
1,  128 ,  130 ,  108 ,  57 ,  762 ,"  5,095 ","  15,885 ","  18,767 ","  14,461 "
2,  46 ,  111 ,  115 ,  81 ,  91 ,  436 ,"  2,045 ","  4,962 ","  8,015 "
3,  445 ,  426 ,  436 ,  370 ,"  3,045 ","  9,416 ","  15,134 ","  13,415 ","  11,275 "
4,  11 ,  18 ,  26 ,  30 ,  57 ,  228 ,"  1,087 ","  1,342 ","  1,488 "
5,  19 ,  19 ,  17 ,  48 ,  140 ,  390 ,  992 ,"  1,333 ",  738 
6,  198 ,  234 ,  247 ,  168 ,  892 ,"  6,558 ","  5,575 ","  4,193 ","  3,651 "
7,  143 ,  132 ,  205 ,"  1,358 ","  4,904 ","  4,800 ","  3,590 ","  3,323 ","  2,753 "
8,"  4,231 ","  5,158 ","  17,813 ","  23,114 ","  26,079 ","  21,812 ","  14,538 ","  13,884 ","  8,732 "
9,  4 , - , - ,  - , - , - ,  3 ,  19 ,  29 
10,  4 ,  4 ,  22 ,  12 ,  1 ,  7 ,  19 ,  332 ,  164 
11,  2 ,  6 ,  8 ,  - ,  2 ,  5 ,  16 ,  81 ,  265 
12,  2 ,  13 ,  13 ,  6 ,  4 ,  11 ,  9 ,  71 ,  137 
13,  66 ,  149 ,  555 ,  517 ,  432 ,  136 ,  129 ,  452 ,  573 
14,  46 ,  56 ,  48 ,  19 ,  30 ,  261 ,"  1,491 ","  1,907 ","  2,076 "
15,  9 ,  8 ,  39 ,  17 ,  21 ,  47 ,  146 ,  336 ,  856 
16,  37 ,  14 ,  30 ,  20 ,  27 ,  59 ,  409 ,"  1,121 ","  1,736 "
17,  3 ,  6 ,  7 ,  2 ,  311 ,  182 ,  158 ,  234 ,  308 
18,  5 ,  2 ,  4 ,  1 ,  1 , - ,  36 ,  264 ,  598 
19,  4 ,  4 ,  59 ,  3 ,  10 ,  43 ,  564 ,"  2,000 ","  2,493 "
20,  7 , - ,  3 ,  - ,  8 ,  53 ,  310 ,  649 ,  757 
21,  4 ,  12 ,  18 ,  3 ,  11 ,  50 ,  332 ,  669 ,  991 
22,  19 ,  39 ,  208 ,  371 ,  629 ,"  2,004 ","  4,497 ","  4,290 ","  3,900 "
23,  43 ,  32 ,  53 ,  425 ,"  13,924 ","  24,957 ","  33,077 ","  31,207 ","  23,030 "
24,  841 ,  695 ,"  2,263 ","  2,366 ","  5,518 ","  8,299 ","  7,959 ","  7,979 ","  6,404 "
25,  132 ,  60 ,  122 ,  31 ,"  41,584 ","  101,341 ","  98,504 ","  105,369 ","  83,837 "
26,  46 ,  24 ,  23 ,"  7,204 ","  46,947 ","  33,281 ","  23,834 ","  22,564 ","  17,315 "
27,"  1,848 ","  2,990 ","  11,695 ","  41,097 ","  51,128 ","  31,058 ","  23,674 ","  20,296 ","  18,696 "
28,"  25,239 ","  25,774 ","  65,520 ","  68,146 ","  56,836 ","  42,452 ","  30,700 ","  24,546 ","  17,303 "
29,  374 ,  380 ,"  13,146 ","  113,827 ","  91,292 ","  59,034 ","  45,371 ","  39,164 ","  32,835 "
30,  679 ,  790 ,"  1,343 ","  3,568 ","  6,447 ","  6,329 ","  6,652 ","  11,759 ","  10,374 "
31,  5 ,  6 ,  172 ,  530 ,"  1,068 ",  403 ,  404 ,  774 ,"  1,108 "
32,  98 ,  14 ,  277 ,  449 ,  587 ,"  1,223 ","  2,255 ","  3,221 ","  3,361 "
33,"  2,474 ","  1,890 ","  7,835 ","  7,942 ","  7,490 ","  6,788 ","  6,305 ","  6,052 ","  6,015 "
34,"  4,058 ","  4,062 ","  10,920 ","  4,960 ","  4,131 ","  3,158 ","  2,384 ","  2,046 ","  1,419 "
35,"  44,644 ","  49,804 ","  76,421 ","  48,031 ","  41,807 ","  30,769 ","  27,957 ","  22,635 ","  13,247 "
36,"  4,317 ","  3,209 ","  18,926 ","  23,955 ","  18,090 ","  16,557 ","  8,117 ","  5,957 ","  5,567 "
37,"  1,093 ","  1,438 ","  8,545 ","  11,692 ","  7,146 ","  5,707 ","  4,292 ","  3,225 ","  2,651 "
38,"  82,329 ","  101,339 ","  113,374 ","  79,537 ","  79,607 ","  53,096 ","  35,574 ","  27,370 ","  20,645 "
39,  185 ,  278 ,"  3,453 ","  34,838 ","  21,228 ","  16,908 ","  13,855 ","  13,900 ","  12,821 "
40,"  40,460 ","  51,281 ","  56,178 ","  43,310 ","  45,649 ","  31,550 ","  19,268 ","  13,798 ","  11,370 "
41,  521 ,  573 ,"  1,757 ","  17,163 ","  10,427 ","  11,488 ","  10,714 ","  11,290 ","  7,815 "
42,"  8,578 ","  12,107 ","  31,329 ","  72,397 ","  51,572 ","  34,560 ","  26,234 ","  25,518 ","  20,605 "
43,  171 ,  249 ,  182 ,"  7,018 ","  55,649 ","  73,312 ","  59,662 ","  59,405 ","  49,338 "
44,  10 ,  20 ,  345 ,"  26,756 ","  46,128 ","  39,910 ","  36,295 ","  36,538 ","  30,160 "
45,  4 ,  4 ,  8 ,  6 ,"  11,912 ","  13,185 ","  11,429 ","  10,816 ","  9,751 "
46,  738 ,  907 ,"  2,619 ","  2,448 ","  10,233 ","  21,773 ","  24,672 ","  26,253 ","  23,296 "
47, - ,  4 ,  7 ,  - ,  91 ,"  3,470 ","  3,191 ","  3,180 ","  2,849 "
48,  19 ,  4 ,  9 ,  8 ,"  9,038 ","  17,667 ","  15,983 ","  14,817 ","  12,897 "
49,"  1,256 ","  1,828 ","  10,430 ","  13,255 ","  34,454 ","  62,424 ","  55,661 ","  51,568 ","  43,447 "
50, - ,  2 ,  4 ,  - ,"  5,244 ","  7,872 ","  7,316 ","  7,262 ","  6,122 "
51, - , - ,  15 ,  125 ,"  3,067 ","  10,509 ","  10,417 ","  10,335 ","  9,354 "
52, - , - ,  14 ,  4 ,  23 ,  25 ,  10 ,  242 ,  777 
53,  170 ,  103 ,  82 ,  62 ,"  6,670 ","  40,441 ","  37,285 ","  34,277 ","  27,593 "
54, - ,  6 ,"  8,242 ","  10,306 ","  14,232 ","  12,984 ","  10,527 ","  9,479 ","  6,251 "
55, - , - ,  2 ,  32 ,  22 ,  29 ,  66 ,  130 ,  364 
56, - ,  1 ,  1 ,"  2,686 ","  3,508 ","  5,084 ","  4,337 ","  4,419 ","  2,040 "
57,  6 ,  1 ,  6 ,  1 ,  1 ,  8 ,  2 ,  74 ,  130 
58,  41 ,  34 ,  49 ,  36 ,  34 ,  33 ,  17 ,  221 ,  542 
59,  3 ,  1 ,  7 ,  - ,  4 ,  5 ,  10 ,  116 ,  234 
60,  1 ,  6 ,  23 ,  65 ,  45 ,  34 ,  38 ,  354 ,  672 
61,  79 ,  68 ,  112 ,  166 ,"  2,152 ","  12,117 ","  21,568 ","  18,252 ","  13,148 "
62, - , - ,  4 ,  - ,  5 ,  7 ,  4 ,  74 ,  255 
63, - ,  1 ,  6 ,  2 ,  1 ,  163 ,"  1,292 ","  2,743 ","  2,161 "
