ID,1930,1940,1950,1960,1970,1980,1990,2000,2010
1,12.20%,7.70%,11.90%,12.00%,10.30%,13.70%,15.40%,18.40%,29.20%
2,35.50%,26.40%,38.20%,46.60%,44.80%,48.00%,47.70%,47.50%,50.50%
3,8.70%,4.10%,6.10%,5.80%,5.50%,13.20%,15.40%,24.00%,32.20%
4,25.50%,19.40%,25.00%,28.80%,27.50%,27.70%,28.30%,31.20%,39.80%
5,37.70%,30.50%,35.70%,37.30%,36.90%,37.60%,38.80%,41.20%,52.70%
6,17.10%,11.90%,14.30%,13.90%,11.70%,22.30%,25.30%,30.10%,37.50%
7,18.60%,12.70%,14.80%,15.10%,13.80%,25.70%,32.60%,40.10%,45.50%
8,10.50%,6.90%,9.10%,6.70%,6.50%,25.40%,31.10%,41.40%,44.90%
9,76.30%,63.30%,78.70%,84.70%,78.90%,79.70%,80.70%,80.00%,79.80%
10,74.80%,61.10%,79.80%,84.90%,80.60%,79.90%,80.00%,80.10%,79.40%
11,63.60%,50.60%,64.60%,69.20%,66.20%,66.60%,67.00%,66.90%,65.70%
12,75.80%,76.60%,88.90%,90.20%,88.60%,88.40%,89.70%,88.90%,87.80%
13,41.40%,33.10%,47.50%,61.00%,57.40%,57.00%,52.40%,54.10%,52.90%
14,34.10%,24.80%,33.30%,35.00%,33.70%,33.50%,33.70%,33.90%,36.50%
15,60.20%,47.20%,56.50%,57.90%,56.10%,57.40%,58.10%,57.00%,56.30%
16,39.50%,31.60%,38.60%,39.10%,39.20%,39.50%,41.40%,41.10%,48.40%
17,82.60%,67.00%,81.30%,81.80%,78.00%,77.60%,79.40%,79.80%,75.80%
18,69.10%,54.00%,63.40%,67.30%,61.60%,63.70%,65.60%,66.70%,59.40%
19,56.80%,44.80%,53.60%,56.80%,55.40%,55.80%,56.70%,55.30%,48.60%
20,45.30%,36.90%,44.60%,45.70%,44.80%,46.30%,46.40%,44.90%,44.00%
21,37.10%,29.80%,35.90%,37.70%,36.60%,37.50%,37.30%,37.40%,41.80%
22,29.60%,22.70%,28.30%,29.00%,28.00%,28.20%,29.50%,30.80%,37.80%
23,36.00%,29.20%,36.20%,36.70%,35.50%,35.60%,36.20%,37.60%,35.20%
24,23.10%,16.00%,21.00%,22.00%,21.40%,21.40%,23.20%,28.90%,40.00%
25,37.00%,29.70%,37.60%,38.70%,36.60%,39.30%,42.70%,42.90%,39.50%
26,26.20%,19.20%,23.40%,21.80%,18.70%,23.50%,26.70%,29.30%,26.00%
27,21.90%,15.30%,16.50%,14.40%,14.80%,19.90%,22.20%,28.00%,26.90%
28,18.40%,11.40%,12.10%,10.50%,10.00%,11.20%,13.10%,26.10%,39.90%
29,24.50%,16.20%,22.00%,18.70%,17.90%,21.50%,23.40%,26.10%,24.10%
30,42.30%,35.90%,39.70%,41.40%,37.50%,36.90%,37.20%,36.00%,35.90%
31,24.80%,21.20%,24.20%,25.20%,25.90%,24.90%,25.30%,25.90%,26.80%
32,1.20%,0.20%,13.90%,0.80%,0.20%,42.20%,30.30%,45.70%,43.00%
33,2.50%,0.80%,3.20%,1.80%,0.70%,0.50%,1.90%,37.10%,49.60%
34,20.00%,19.50%,19.40%,20.20%,19.60%,21.40%,25.00%,29.50%,35.20%
35,10.80%,6.20%,8.50%,6.00%,4.40%,5.00%,6.00%,12.50%,20.80%
36,12.80%,7.00%,6.10%,6.30%,5.00%,4.10%,5.80%,8.90%,22.30%
37,30.50%,28.10%,30.60%,30.00%,31.80%,29.20%,29.80%,34.90%,33.00%
38,9.90%,5.60%,7.90%,7.90%,7.20%,7.10%,8.20%,13.50%,28.00%
39,13.50%,7.80%,9.80%,9.20%,11.50%,22.60%,24.00%,29.30%,31.30%
40,8.00%,5.10%,7.00%,7.10%,5.40%,5.70%,6.90%,10.10%,20.10%
41,10.60%,6.20%,9.40%,10.50%,15.20%,25.50%,28.40%,31.70%,37.20%
42,13.40%,8.40%,10.10%,9.40%,11.50%,14.10%,17.00%,18.20%,24.50%
43,21.60%,15.20%,22.20%,22.00%,17.70%,19.30%,22.70%,23.20%,23.90%
44,30.30%,25.00%,34.80%,38.70%,40.10%,39.40%,40.80%,41.20%,36.80%
45,65.00%,55.20%,67.90%,75.80%,71.80%,72.60%,75.30%,74.00%,67.50%
46,39.20%,33.60%,39.10%,42.30%,40.80%,42.10%,43.90%,42.90%,41.50%
47,61.90%,49.80%,60.70%,65.40%,64.00%,69.50%,65.00%,66.60%,54.90%
48,52.50%,42.30%,65.20%,79.20%,77.60%,76.80%,79.10%,78.50%,78.40%
49,53.70%,47.00%,57.60%,62.50%,64.00%,64.50%,65.60%,64.00%,57.30%
50,48.80%,42.80%,63.30%,64.20%,65.60%,56.00%,52.60%,50.70%,46.10%
51,49.30%,36.40%,69.40%,74.00%,71.60%,70.50%,71.30%,69.30%,58.70%
52,53.70%,47.10%,62.20%,66.70%,70.20%,70.30%,72.70%,70.30%,68.20%
53,54.20%,46.00%,57.70%,68.30%,70.70%,71.50%,72.40%,70.00%,62.60%
54,63.50%,45.30%,14.20%,11.30%,27.30%,17.10%,14.70%,13.30%,12.90%
55,49.70%,44.80%,54.80%,69.20%,74.20%,77.30%,81.40%,79.70%,74.00%
56,76.60%,65.00%,78.90%,84.20%,80.90%,80.20%,83.00%,81.00%,83.40%
57,66.60%,52.40%,58.50%,66.40%,63.90%,64.60%,67.40%,62.00%,64.40%
58,46.50%,40.30%,44.30%,46.60%,47.00%,48.70%,51.30%,51.10%,45.90%
59,43.70%,39.50%,44.30%,45.50%,46.00%,48.80%,50.80%,50.70%,56.30%
60,32.70%,29.80%,32.40%,34.30%,36.30%,39.20%,42.60%,43.20%,47.20%
61,35.70%,31.30%,35.80%,37.00%,37.50%,38.50%,37.60%,35.50%,43.60%
62,74.70%,60.60%,82.90%,85.60%,81.70%,80.50%,81.70%,79.00%,73.40%
63,64.50%,56.30%,61.30%,63.30%,61.50%,62.20%,64.70%,60.90%,56.40%
64,55.80%,41.60%,64.40%,79.00%,72.20%,69.90%,72.50%,73.80%,75.60%
65,77.20%,69.60%,73.80%,84.10%,74.30%,79.20%,81.90%,82.70%,77.60%
66,52.40%,42.90%,50.90%,55.50%,53.20%,53.90%,54.30%,51.60%,44.60%
67,52.50%,45.00%,50.80%,52.40%,50.50%,51.80%,55.60%,53.30%,47.10%
68,30.80%,24.20%,28.80%,28.00%,25.50%,29.50%,30.80%,31.50%,29.60%
69,37.70%,29.80%,35.80%,35.90%,33.20%,32.80%,36.00%,36.60%,35.40%
70,31.00%,47.50%,69.20%,96.90%,90.50%,91.40%,91.20%,91.10%,86.10%
71,47.00%,40.50%,50.20%,54.00%,51.60%,51.70%,52.60%,52.60%,46.60%
72,80.60%,73.50%,83.70%,83.40%,79.50%,80.50%,81.20%,82.40%,81.70%
73,63.40%,55.50%,70.60%,76.30%,77.20%,77.20%,77.60%,76.70%,67.20%
74,80.10%,68.80%,90.00%,93.10%,90.80%,85.20%,86.50%,87.40%,90.70%
75,68.40%,54.80%,68.70%,69.70%,72.70%,75.20%,75.50%,77.50%,75.60%
76,0,0,0,0,28.90%,33.20%,37.20%,37.30%,46.30%
77,19.80%,14.20%,17.30%,17.90%,16.30%,25.90%,26.80%,31.40%,39.00%
