ID,2010 Asian Pop,2010 White Pop,2010 Other Pop,2010 Black Pop,2010 Hispanic Pop
1,"  3,523 ","  21,618 ","  1,956 ","  14,461 ","  13,433 "
2,"  16,184 ","  30,706 ","  2,336 ","  8,015 ","  14,701 "
3,"  6,414 ","  29,098 ","  1,566 ","  11,275 ","  8,009 "
4,"  4,399 ","  24,916 ","  1,128 ","  1,488 ","  7,562 "
5,"  1,449 ","  24,634 ",  716 ,  738 ,"  4,330 "
6,"  5,653 ","  75,845 ","  2,021 ","  3,651 ","  7,198 "
7,"  3,296 ","  53,138 ","  1,358 ","  2,753 ","  3,571 "
8,"  8,140 ","  58,033 ","  1,605 ","  8,732 ","  3,974 "
9,  269 ,"  9,885 ",  132 ,  29 ,  872 
10,"  1,696 ","  30,157 ",  564 ,  164 ,"  4,442 "
11,"  2,256 ","  17,475 ",  525 ,  265 ,"  4,927 "
12,"  1,989 ","  13,815 ",  441 ,  137 ,"  2,126 "
13,"  4,600 ","  8,847 ",  687 ,  573 ,"  3,224 "
14,"  7,430 ","  15,054 ","  1,495 ","  2,076 ","  25,487 "
15,"  2,972 ","  34,329 ","  1,106 ",  856 ,"  24,861 "
16,"  3,736 ","  22,234 ","  1,321 ","  1,736 ","  24,332 "
17,"  1,587 ","  29,512 ",  528 ,  308 ,"  9,997 "
18,  377 ,"  5,041 ",  162 ,  598 ,"  7,248 "
19,"  1,537 ","  11,959 ",  653 ,"  2,493 ","  62,101 "
20,  294 ,"  1,913 ",  186 ,  757 ,"  21,860 "
21,"  1,194 ","  11,166 ",  616 ,  991 ,"  25,295 "
22,"  1,828 ","  28,514 ","  1,254 ","  3,900 ","  37,295 "
23,  222 ,"  2,502 ",  523 ,"  23,030 ","  30,046 "
24,"  3,106 ","  47,051 ","  1,774 ","  6,404 ","  23,901 "
25,  573 ,"  4,364 ","  1,018 ","  83,837 ","  8,722 "
26,  8 ,  133 ,  197 ,"  17,315 ",  348 
27,  83 ,  698 ,  240 ,"  18,696 ",  850 
28,"  8,022 ","  23,042 ","  1,466 ","  17,303 ","  5,048 "
29,  74 ,  492 ,  367 ,"  32,835 ","  2,144 "
30,  113 ,"  3,056 ",  288 ,"  10,374 ","  65,457 "
31,  371 ,"  4,447 ",  357 ,"  1,108 ","  29,486 "
32,"  4,658 ","  18,359 ",  895 ,"  3,361 ","  2,010 "
33,"  3,307 ","  10,281 ",  585 ,"  6,015 ","  1,202 "
34,"  9,721 ","  1,642 ",  145 ,"  1,419 ",  464 
35,"  2,313 ","  1,810 ",  403 ,"  13,247 ",  465 
36,  35 ,  122 ,  107 ,"  5,567 ",  87 
37,  7 ,  47 ,  39 ,"  2,651 ",  132 
38,  57 ,  391 ,  441 ,"  20,645 ",  395 
39,  973 ,"  2,942 ",  563 ,"  12,821 ",  542 
40,  12 ,  87 ,  144 ,"  11,370 ",  104 
41,"  3,185 ","  11,992 ","  1,063 ","  7,815 ","  1,626 "
42,  544 ,"  1,623 ",  464 ,"  20,605 ",  504 
43,  124 ,  724 ,  931 ,"  49,338 ",  893 
44,  27 ,  112 ,  418 ,"  30,160 ",  311 
45,  19 ,  81 ,  181 ,"  9,751 ",  153 
46,  67 ,  599 ,  462 ,"  23,296 ","  6,774 "
47,  - ,  19 ,  28 ,"  2,849 ",  20 
48,  26 ,  126 ,  194 ,"  12,897 ",  569 
49,  27 ,  188 ,  499 ,"  43,447 ",  458 
50,  5 ,  522 ,  105 ,"  6,122 ",  571 
51,  18 ,  725 ,  203 ,"  9,354 ","  4,809 "
52,  53 ,"  3,969 ",  167 ,  777 ,"  18,076 "
53,  14 ,  166 ,  369 ,"  27,593 ","  1,509 "
54,  2 ,  32 ,  65 ,"  6,251 ",  132 
55,  48 ,"  4,235 ",  108 ,  364 ,"  4,671 "
56,  346 ,"  18,372 ",  240 ,"  2,040 ","  13,515 "
57,  138 ,"  2,874 ",  69 ,  130 ,"  10,182 "
58,"  2,252 ","  3,682 ",  199 ,  542 ,"  38,693 "
59,"  2,445 ","  2,667 ",  155 ,  234 ,"  10,111 "
60,"  11,038 ","  11,225 ",  415 ,  672 ,"  8,627 "
61,  727 ,"  4,697 ",  374 ,"  13,148 ","  25,431 "
62,  222 ,"  3,250 ",  68 ,  255 ,"  14,314 "
63,  121 ,"  1,892 ",  131 ,"  2,161 ","  35,589 "
64,  212 ,"  11,921 ",  240 ,  282 ,"  10,484 "
65,  210 ,"  4,924 ",  162 ,"  1,390 ","  26,669 "
66,  190 ,"  2,419 ",  475 ,"  27,403 ","  25,141 "
67,  19 ,  130 ,  404 ,"  34,178 ",  774 
68,  34 ,  105 ,  343 ,"  29,847 ",  325 
69,  21 ,  180 ,  423 ,"  31,590 ",  388 
70,  276 ,"  6,251 ",  446 ,"  18,976 ","  15,132 "
71,  33 ,  134 ,  456 ,"  47,661 ",  459 
72,  112 ,"  11,785 ",  384 ,"  6,838 ",  915 
73,  12 ,  121 ,  309 ,"  25,793 ",  258 
74,  126 ,"  16,413 ",  185 ,  987 ,"  1,382 "
75,  92 ,"  6,473 ",  321 ,"  15,039 ",  619 
76,"  1,058 ","  9,845 ",  238 ,  403 ,"  1,212 "
77,"  6,582 ","  30,889 ","  1,628 ","  8,104 ","  9,318 "
