Community Area,Primary Type,Year,Number of Reported Crimes
1,ARSON,2002,16293172
1,ARSON,2003,31325781
1,ARSON,2004,50270173
1,ARSON,2005,20463097
1,ARSON,2006,49126336
1,ARSON,2007,17107498
1,ARSON,2008,12707744
1,ARSON,2009,20622116
1,ARSON,2010,45612126
1,ARSON,2011,57127478
1,ARSON,2012,43451954
1,ARSON,2013,45960408
1,ARSON,2014,9777048
1,ARSON,2015,40685409
1,ARSON,2016,20936898
1,ARSON,2017,10998141
1,ASSAULT,2002,757069187
1,ASSAULT,2003,1051198017
1,ASSAULT,2004,1374273528
1,ASSAULT,2005,1716092815
1,ASSAULT,2006,1939526625
1,ASSAULT,2007,1828397694
1,ASSAULT,2008,2463374161
1,ASSAULT,2009,2424312309
1,ASSAULT,2010,2792196690
1,ASSAULT,2011,2301390049
1,ASSAULT,2012,2951490612
1,ASSAULT,2013,2786957066
1,ASSAULT,2014,2545021862
1,ASSAULT,2015,2416315876
1,ASSAULT,2016,2477496120
1,ASSAULT,2017,2937099313
1,ASSAULT,2018,1181867821
1,BATTERY,2001,1910956
1,BATTERY,2002,2673140371
1,BATTERY,2003,3857587515
1,BATTERY,2004,4692560554
1,BATTERY,2005,5742744686
1,BATTERY,2006,5956222128
1,BATTERY,2007,6809099095
1,BATTERY,2008,7308518789
1,BATTERY,2009,7518329684
1,BATTERY,2010,7459384083
1,BATTERY,2011,8101912288
1,BATTERY,2012,8618048947
1,BATTERY,2013,7959811435
1,BATTERY,2014,7688746896
1,BATTERY,2015,6836526516
1,BATTERY,2016,8041537498
1,BATTERY,2017,7740706729
1,BATTERY,2018,2937771609
1,BURGLARY,2002,1028910603
1,BURGLARY,2003,1453317617
1,BURGLARY,2004,1656476263
1,BURGLARY,2005,1615460683
1,BURGLARY,2006,1620112564
1,BURGLARY,2007,2038684521
1,BURGLARY,2008,1905677252
1,BURGLARY,2009,2265893347
1,BURGLARY,2010,2314747207
1,BURGLARY,2011,2101084768
1,BURGLARY,2012,1842394082
1,BURGLARY,2013,1721428831
1,BURGLARY,2014,1751236206
1,BURGLARY,2015,1686063159
1,BURGLARY,2016,1937073595
1,BURGLARY,2017,2000059525
1,BURGLARY,2018,472712855
1,CRIM SEXUAL ASSAULT,2001,5239073
1,CRIM SEXUAL ASSAULT,2002,65625049
1,CRIM SEXUAL ASSAULT,2003,83578156
1,CRIM SEXUAL ASSAULT,2004,73908638
1,CRIM SEXUAL ASSAULT,2005,127288595
1,CRIM SEXUAL ASSAULT,2006,106344768
1,CRIM SEXUAL ASSAULT,2007,149901898
1,CRIM SEXUAL ASSAULT,2008,180144536
1,CRIM SEXUAL ASSAULT,2009,158823608
1,CRIM SEXUAL ASSAULT,2010,162065183
1,CRIM SEXUAL ASSAULT,2011,212599720
1,CRIM SEXUAL ASSAULT,2012,152996144
1,CRIM SEXUAL ASSAULT,2013,176016601
1,CRIM SEXUAL ASSAULT,2014,281602559
1,CRIM SEXUAL ASSAULT,2015,265770944
1,CRIM SEXUAL ASSAULT,2016,328151768
1,CRIM SEXUAL ASSAULT,2017,341070192
1,CRIM SEXUAL ASSAULT,2018,90093222
1,CRIMINAL DAMAGE,2002,1696965285
1,CRIMINAL DAMAGE,2003,2728223617
1,CRIMINAL DAMAGE,2004,3128423576
1,CRIMINAL DAMAGE,2005,3605830184
1,CRIMINAL DAMAGE,2006,4187348043
1,CRIMINAL DAMAGE,2007,5126108270
1,CRIMINAL DAMAGE,2008,4831941093
1,CRIMINAL DAMAGE,2009,4875391763
1,CRIMINAL DAMAGE,2010,4759250213
1,CRIMINAL DAMAGE,2011,4630758234
1,CRIMINAL DAMAGE,2012,4340380774
