Community,1930,1940,1950,1960,1970,1980,1990,2000,2010
1. Rogers Park,  71 ,  65 ,  49 ,  328 ,  355 ,"  5,110 ",  358 ,"  2,845 ","  1,956 "
2. West Ridge,  12 ,  29 ,  29 ,  107 ,  91 ,"  5,478 ",  310 ,"  4,134 ","  2,336 "
3. Uptown,  322 ,  232 ,"  1,158 ","  3,586 ","  2,110 ","  9,453 ",  705 ,"  2,472 ","  1,566 "
4. Lincoln Square,  24 ,  24 ,  39 ,  276 ,  208 ,"  4,762 ",  403 ,"  1,764 ","  1,128 "
5. North Center,  17 ,  14 ,  46 ,  207 ,  237 ,"  1,902 ",  208 ,  804 ,  716 
6. Lake View,  239 ,  238 ,  763 ,"  3,578 ","  1,707 ","  6,591 ",  403 ,"  1,850 ","  2,021 "
7. Lincoln Park,  337 ,  130 ,"  1,648 ","  2,874 ",  887 ,"  2,097 ",  140 ,"  1,077 ","  1,358 "
8. Near North Side,  823 ,  793 ,"  3,111 ","  1,826 ",  410 ,"  1,321 ",  108 ,"  1,291 ","  1,605 "
9. Edison Park, - ,  2 ,  1 ,  3 ,  7 ,  101 ,  5 ,  74 ,  132 
10. Norwood Park,  2 ,  4 ,  17 ,  26 ,  23 ,  498 ,  44 ,  424 ,  564 
11. Jefferson Park,  8 ,  8 ,  10 ,  19 ,  12 ,  380 ,  52 ,  559 ,  525 
12. Forest Glen,  5 ,  1 ,  3 ,  19 ,  18 ,  541 ,  17 ,  326 ,  441 
13. North Park,  35 , - ,  30 ,  69 ,  44 ,"  1,664 ",  51 ,  659 ,  687 
14. Albany Park,  36 ,  43 ,  43 ,  181 ,  218 ,"  7,726 ",  344 ,"  2,963 ","  1,495 "
15. Portage Park,  13 ,  19 ,  37 ,  67 ,  66 ,"  1,004 ",  110 ,"  2,097 ","  1,106 "
16. Irving Park,  38 ,  30 ,  96 ,  153 ,  96 ,"  2,990 ",  242 ,"  1,847 ","  1,321 "
17. Dunning,  8 ,  16 ,  7 ,  64 ,  18 ,  361 ,  40 ,  780 ,  528 
18. Montclare,  2 ,  5 ,  4 ,  16 ,  17 ,  98 ,  21 ,  288 ,  162 
19. Belmont Cragin,  40 ,  16 ,  16 ,  42 ,  66 ,"  1,044 ",  124 ,"  1,393 ",  653 
20. Hermosa,  5 ,  7 ,  28 ,  28 ,  25 ,  689 ,  85 ,  280 ,  186 
21. Avondale,  7 ,  16 ,  27 ,  132 ,  148 ,"  1,325 ",  133 ,"  2,004 ",  616 
22. Logan Square,  69 ,  39 ,  113 ,  352 ,  872 ,"  2,087 ",  352 ,"  1,763 ","  1,254 "
23. Humboldt Park,  113 ,  13 ,  41 ,  212 ,  614 ,"  1,989 ",  205 ,  599 ,  523 
24. West Town,  180 ,  62 ,  440 ,  812 ,"  3,121 ","  3,204 ",  521 ,"  2,535 ","  1,774 "
25. Austin,  50 ,  43 ,  88 ,  186 ,  729 ,"  3,152 ",  134 ,"  1,013 ","  1,018 "
26. West Garfield Park,  58 ,  31 ,  92 ,  255 ,  120 ,  102 ,  24 ,  103 ,  197 
27. East Garfield Park,  166 ,  95 ,  252 ,  365 ,  118 ,  64 ,  28 ,  118 ,  240 
28. Near West Side,"  7,522 ",  470 ,  908 ,  788 ,"  1,303 ","  1,837 ",  126 ,  866 ,"  1,466 "
29. North Lawndale,  66 ,  42 ,  247 ,  318 ,  300 ,  192 ,  63 ,  271 ,  367 
30. South Lawndale,  120 ,  19 ,  55 ,  94 ,"  2,121 ",  731 ,  247 ,  373 ,  288 
31. Lower West Side,  479 ,  21 ,  19 ,  123 ,"  1,601 ",  458 ,  149 ,  405 ,  357 
32. Loop,  114 ,  92 ,  99 ,  47 ,  27 ,  350 ,  31 ,  398 ,  895 
33. Near South Side,  197 ,  46 ,  33 ,  54 ,  78 ,  107 ,  10 ,  171 ,  585 
34. Armour Square,"  2,185 ",  892 ,"  1,272 ","  1,727 ",  174 ,"  5,031 ",  24 ,  171 ,  145 
35. Douglas,  124 ,  34 ,  152 ,  414 ,  302 ,"  1,149 ",  57 ,  405 ,  403 
36. Oakland,  193 ,  138 ,"  1,206 ",  112 ,  40 ,  40 ,  2 ,  47 ,  107 
37. Fuller Park,  487 ,  26 ,  12 ,  13 ,  23 ,  17 ,  9 ,  55 ,  39 
38. Grand Boulevard,  126 ,  53 ,  108 ,  101 ,  125 ,  125 ,  52 ,  206 ,  441 
39. Kenwood,  44 ,  38 ,"  2,016 ",  413 ,  107 ,  540 ,  65 ,  462 ,  563 
40. Washington Park,  108 ,  25 ,  58 ,  48 ,  111 ,  97 ,  27 ,  135 ,  144 
41. Hyde Park,  298 ,  227 ,"  1,074 ","  1,200 ",  519 ,"  2,037 ",  148 ,"  1,014 ","  1,063 "
42. Woodlawn,  292 ,  140 ,"  1,002 ",  432 ,  180 ,  246 ,  50 ,  312 ,  464 
43. South Shore,  46 ,  27 ,  39 ,  561 ,  476 ,  784 ,  123 ,  727 ,  931 
44. Chatham,  81 ,  11 ,  32 ,  116 ,  169 ,  208 ,  37 ,  372 ,  418 
