,1930,1940,1950,1960,1970,1980,1990,2000,2010,Community
0,"57,094","60,565","62,252","56,888","60,787","55,525","60,378","63,484","54,991",Rogers Park
1,"39,759","43,553","47,930","63,884","65,432","61,129","65,374","73,199","71,942",West Ridge
2,"67,699","77,677","84,462","76,103","74,838","64,414","63,839","63,551","56,362",Uptown
3,"46,419","47,179","47,298","49,850","47,751","43,954","44,891","44,574","39,493",Lincoln Square
4,"47,651","48,759","47,787","43,877","39,410","35,161","33,010","31,895","31,867",North Center
5,"114,872","121,455","124,824","118,764","114,943","97,519","91,031","94,817","94,368",Lake View
6,"97,873","100,826","102,396","88,836","67,804","57,146","61,092","64,320","64,116",Lincoln Park
7,"79,554","76,954","89,196","75,509","70,269","67,167","62,842","72,811","80,484",Near North Side
8,"5,370","5,999","7,843","12,568","13,241","12,457","11,426","11,259","11,187",Edison Park
9,"14,408","16,466","26,798","40,953","41,827","40,585","37,719","37,669","37,023",Norwood Park
10,"20,532","21,537","23,556","27,494","27,553","24,583","23,649","25,859","25,448",Jefferson Park
11,"4,065","6,630","12,189","19,228","20,531","18,991","17,655","18,165","18,508",Forest Glen
12,"11,052","12,271","15,291","17,866","16,732","15,273","16,236","18,514","17,931",North Park
13,"55,577","56,692","52,995","49,450","47,092","46,075","49,501","57,655","51,542",Albany Park
14,"64,203","66,357","64,736","65,925","63,608","57,349","56,513","65,340","64,124",Portage Park
15,"66,783","66,553","64,881","58,298","54,900","49,489","50,159","58,643","53,359",Irving Park
16,"19,659","23,328","32,231","41,626","43,856","37,860","36,957","42,164","41,932",Dunning
17,"8,500","9,693","11,166","11,802","11,675","10,793","10,573","12,646","13,426",Montclare
18,"60,221","63,302","63,546","60,883","57,399","53,371","56,787","78,144","78,743",Belmont Cragin
19,"23,518","22,894","22,805","21,429","19,838","19,547","23,131","26,908","25,010",Hermosa
20,"48,433","47,684","45,313","39,748","35,806","33,527","35,579","43,083","39,262",Avondale
21,"114,174","110,010","106,763","94,799","88,555","84,768","82,605","82,715","72,791",Logan Square
22,"80,835","79,329","76,199","71,609","71,726","70,879","67,573","65,836","56,323",Humboldt Park
23,"187,292","169,924","161,620","139,657","124,800","96,428","87,703","87,435","82,236",West Town
24,"131,114","132,107","132,180","125,133","127,981","138,026","114,079","117,527","98,514",Austin
25,"50,014","48,447","48,443","45,611","48,464","33,865","24,095","23,019","18,001",West Garfield Park
26,"63,353","65,789","70,091","66,871","52,185","31,580","24,030","20,881","20,567",East Garfield Park
