Community,1930,1940,1950,1960,1970,1980,1990,2000,2010
1. Rogers Park,"  56,895 ","  60,370 ","  62,095 ","  56,503 ","  58,050 ","  38,699 ","  27,030 ","  20,170 ","  21,618 "
2. West Ridge,"  39,701 ","  43,413 ","  47,786 ","  63,696 ","  64,690 ","  52,949 ","  47,098 ","  36,403 ","  30,706 "
3. Uptown,"  66,932 ","  77,019 ","  82,868 ","  72,147 ","  65,644 ","  30,561 ","  24,743 ","  26,784 ","  29,098 "
4. Lincoln Square,"  46,384 ","  47,137 ","  47,233 ","  49,544 ","  46,754 ","  33,991 ","  27,068 ","  23,716 ","  24,916 "
5. North Center,"  47,615 ","  48,726 ","  47,724 ","  43,622 ","  38,727 ","  26,185 ","  21,070 ","  21,938 ","  24,634 "
6. Lake View,"  114,435 ","  120,983 ","  123,814 ","  115,018 ","  108,031 ","  66,037 ","  68,204 ","  75,363 ","  75,845 "
7. Lincoln Park,"  97,393 ","  100,564 ","  100,543 ","  84,604 ","  59,759 ","  44,258 ","  51,968 ","  54,341 ","  53,138 "
8. Near North Side,"  74,500 ","  71,003 ","  68,272 ","  50,569 ","  43,076 ","  42,090 ","  44,622 ","  50,397 ","  58,033 "
9. Edison Park,"  5,366 ","  5,997 ","  7,842 ","  12,565 ","  13,209 ","  12,236 ","  11,053 ","  10,503 ","  9,885 "
10. Norwood Park,"  14,402 ","  16,458 ","  26,759 ","  40,915 ","  41,710 ","  39,690 ","  35,947 ","  33,288 ","  30,157 "
11. Jefferson Park,"  20,522 ","  21,523 ","  23,538 ","  27,475 ","  27,494 ","  23,803 ","  21,762 ","  21,101 ","  17,475 "
12. Forest Glen,"  4,058 ","  6,616 ","  12,173 ","  19,203 ","  20,419 ","  18,144 ","  15,992 ","  14,793 ","  13,815 "
13. North Park,"  10,951 ","  12,122 ","  14,706 ","  17,280 ","  16,036 ","  12,627 ","  11,267 ","  10,336 ","  8,847 "
14. Albany Park,"  55,495 ","  56,593 ","  52,904 ","  49,250 ","  45,969 ","  29,014 ","  20,458 ","  15,866 ","  15,054 "
15. Portage Park,"  64,181 ","  66,330 ","  64,660 ","  65,841 ","  63,352 ","  54,812 ","  50,244 ","  45,418 ","  34,329 "
16. Irving Park,"  66,708 ","  66,509 ","  64,755 ","  58,125 ","  54,432 ","  42,173 ","  33,193 ","  25,912 ","  22,234 "
17. Dunning,"  19,648 ","  23,306 ","  32,217 ","  41,560 ","  43,449 ","  36,704 ","  34,038 ","  34,394 ","  29,512 "
18. Montclare,"  8,493 ","  9,686 ","  11,158 ","  11,785 ","  11,642 ","  10,516 ","  9,086 ","  6,892 ","  5,041 "
19. Belmont Cragin,"  60,177 ","  63,282 ","  63,471 ","  60,838 ","  57,221 ","  49,212 ","  37,265 ","  21,881 ","  11,959 "
20. Hermosa,"  23,506 ","  22,887 ","  22,774 ","  21,401 ","  19,731 ","  12,704 ","  6,354 ","  3,086 ","  1,913 "
21. Avondale,"  48,422 ","  47,656 ","  45,268 ","  39,613 ","  35,472 ","  25,289 ","  20,653 ","  12,757 ","  11,166 "
22. Logan Square,"  114,086 ","  109,932 ","  106,442 ","  94,076 ","  86,455 ","  36,848 ","  22,081 ","  21,742 ","  28,514 "
23. Humboldt Park,"  80,679 ","  79,284 ","  76,105 ","  70,972 ","  56,772 ","  15,061 ","  4,068 ","  2,184 ","  2,502 "
24. West Town,"  186,271 ","  169,167 ","  158,917 ","  136,479 ","  114,931 ","  30,232 ","  24,117 ","  34,445 ","  47,051 "
25. Austin,"  130,932 ","  132,004 ","  131,970 ","  124,916 ","  84,914 ","  25,385 ","  10,391 ","  5,662 ","  4,364 "
26. West Garfield Park,"  49,910 ","  48,392 ","  48,328 ","  38,152 ","  1,368 ",  204 ,  87 ,  133 ,  133 
